Event	ID	Name			Wwise Object Path	Notes
	57903060	Arsonist_Secondary_Flare_Projectile_Burning			\Default Work Unit\Arsonist_Secondary_Flare_Projectile_Burning	
	87692310	Arsonist_Secondary_Flare_Damage_Tick			\Default Work Unit\Arsonist_Secondary_Flare_Damage_Tick	
	137978395	Arsonist_Idle_Taunt_Firebug			\Default Work Unit\Arsonist_Idle_Taunt_Firebug	
	428657357	Arsonist_Menu_Match_Strike			\Default Work Unit\Arsonist_Menu_Match_Strike	
	470984906	Arsonist_Primary_Fire			\Default Work Unit\Arsonist_Primary_Fire	
	587096102	Arsonist_Flamethrower_Active			\Default Work Unit\Arsonist_Flamethrower_Active	
	934132236	Arsonist_Flamethrower_Start			\Default Work Unit\Arsonist_Flamethrower_Start	
	974780206	Arsonist_Neomasochism_Start			\Default Work Unit\Arsonist_Neomasochism_Start	
	1135082308	Arsonist_Stop_ZPB_Fluff			\Default Work Unit\Arsonist_Stop_ZPB_Fluff	
	1155150252	Arsonist_Idle_Stop			\Default Work Unit\Arsonist_Idle_Stop	
	1362851720	Arsonist_Idle_Taunt			\Default Work Unit\Arsonist_Idle_Taunt	
	1419365914	Arsonist_Neomasochism_Duration_No_Pulse			\Default Work Unit\Arsonist_Neomasochism_Duration_No_Pulse	
	1486446844	Arsonist_ZPB_Contact			\Default Work Unit\Arsonist_ZPB_Contact	
	1555324237	Arsonist_Primary_Fire_Travel			\Default Work Unit\Arsonist_Primary_Fire_Travel	
	1578712289	Arsonist_Neomasochism_Pulse			\Default Work Unit\Arsonist_Neomasochism_Pulse	
	1597575822	Arsonist_Secondary_Flare_Punch_Contact			\Default Work Unit\Arsonist_Secondary_Flare_Punch_Contact	
	1608533803	Arsonist_Secondary_Flare_Projectile_Overheat			\Default Work Unit\Arsonist_Secondary_Flare_Projectile_Overheat	
	1840962711	Arsonist_Masochism			\Default Work Unit\Arsonist_Masochism	
	1924783034	Arsonist_Cleanse			\Default Work Unit\Arsonist_Cleanse	
	1951821374	Arsonist_Neomasochism_Laugh_Firebug			\Default Work Unit\Arsonist_Neomasochism_Laugh_Firebug	
	2004274107	Arsonist_ZPB_Laugh			\Default Work Unit\Arsonist_ZPB_Laugh	
	2058064724	Arsonist_Secondary_Flare_Voiceline_Firebug			\Default Work Unit\Arsonist_Secondary_Flare_Voiceline_Firebug	
	2176930590	Arsonist_Stop_All_Sounds			\Default Work Unit\Arsonist_Stop_All_Sounds	
	2300744954	Arsonist_Primary_Fire_Overheated			\Default Work Unit\Arsonist_Primary_Fire_Overheated	
	2370694900	Arsonist_ZPB_Laugh_Firebug			\Default Work Unit\Arsonist_ZPB_Laugh_Firebug	
	2517450375	Arsonist_Secondary_Flare_Punch_Explosion			\Default Work Unit\Arsonist_Secondary_Flare_Punch_Explosion	
	2615494976	Arsonist_Primary_Fire_Travel_Stop			\Default Work Unit\Arsonist_Primary_Fire_Travel_Stop	
	2698275145	Arsonist_Secondary_Flare_Projectile_Impact			\Default Work Unit\Arsonist_Secondary_Flare_Projectile_Impact	
	2767633755	Arsonist_Secondary_Flare_Voiceline			\Default Work Unit\Arsonist_Secondary_Flare_Voiceline	
	2881057417	Arsonist_Neomasochism_Laugh			\Default Work Unit\Arsonist_Neomasochism_Laugh	
	3061346618	Arsonist_Secondary_Flare_Explosion			\Default Work Unit\Arsonist_Secondary_Flare_Explosion	
	3152162514	Arsonist_Overheat_Start			\Default Work Unit\Arsonist_Overheat_Start	
	3408252638	Arsonist_Overheat_Duration			\Default Work Unit\Arsonist_Overheat_Duration	
	3580806227	Arsonist_Secondary_Flare_Punch			\Default Work Unit\Arsonist_Secondary_Flare_Punch	
	3585665340	Arsonist_ZPB_Start			\Default Work Unit\Arsonist_ZPB_Start	
	3747272580	Arsonist_Secondary_Flare_Projectile			\Default Work Unit\Arsonist_Secondary_Flare_Projectile	
	3765159379	Arsonist_Neomasochism_End_Laugh			\Default Work Unit\Arsonist_Neomasochism_End_Laugh	
	3787943995	Arsonist_Overheat_Finish			\Default Work Unit\Arsonist_Overheat_Finish	
	3799485370	Arsonist_Secondary_Flare_Projectile_Travel_Stop			\Default Work Unit\Arsonist_Secondary_Flare_Projectile_Travel_Stop	
	3831238989	Arsonist_Masochism_Laugh			\Default Work Unit\Arsonist_Masochism_Laugh	
	3833223580	Arsonist_Neomasochism_Active			\Default Work Unit\Arsonist_Neomasochism_Active	
	3899586782	Arsonist_Primary_Fire_Explosion			\Default Work Unit\Arsonist_Primary_Fire_Explosion	
	3993024655	Arsonist_Secondary_Flare_Projectile_Travel			\Default Work Unit\Arsonist_Secondary_Flare_Projectile_Travel	
	4054143681	Arsonist_Secondary_Flare_Explosion_New			\Default Work Unit\Arsonist_Secondary_Flare_Explosion_New	
	4168901551	Arsonist_Flamethrower_End			\Default Work Unit\Arsonist_Flamethrower_End	

Game Parameter	ID	Name			Wwise Object Path	Notes
	988679239	Volume_ArsonistVoice_Arsonist			\Default Work Unit\Volume_ArsonistVoice_Arsonist	
	1868460931	Volume_ArsonistVoice			\Default Work Unit\Volume_ArsonistVoice	
	2549699868	Volume_ArsonistVoice_Firebug			\Default Work Unit\Volume_ArsonistVoice_Firebug	
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	
	3695994288	Volume_Master			\Default Work Unit\Volume_Master	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5203180	4_2_Secondary Flare Projectile Overheat	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\2. Overheat_35812231.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\4_2_Secondary Flare Projectile Overheat		15190
	20639472	1_2_Overheat_Finish	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Overheat\3. Overheat Finish_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\1_2_Overheat_Finish		70061
	34150984	Arsonist_Masochism_2_0_Only_Voices_01	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Arsonist_Masochism_2.0_Only_Voices_F0A10679.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Arsonist\6_0_Masochism_Voice\Arsonist_Masochism_2_0_Only_Voices_01		54681
	65815467	Firebug_ZPB_2_0_Just_Voices_02	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Firebug_ZPB_2.0_Just_Voices_5FD8A908.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Firebug\5_3_ZPB_Firebug_Voice\Firebug_ZPB_2_0_Just_Voices_02		27568
	83830840	Firebug_ZPB_2_0_Just_Voices_03	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Firebug_ZPB_2.0_Just_Voices_FB31C5B1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Firebug\5_3_ZPB_Firebug_Voice\Firebug_ZPB_2_0_Just_Voices_03		31263
	98736392	Firebug_Flare_Bang_1	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Firebug_Flare_Bang_1_0992F623.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Firebug\4_9_Secondary_Flare_Voiceline_Firebug\Firebug_Flare_Bang_1		27000
	103453405	4_5_Secondary_Flare_Projectile_Burning	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\6. Flare Burning on Target_D3AA72D2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\4_5_Secondary_Flare_Projectile_Burning		83771
	136757640	Arsonist_ZPB_2_0_Only_Voices_01	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Arsonist_ZPB_2.0_Only_Voices_B516A355.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Arsonist\5_2_ZPB_Arsonist_Voice\Arsonist_ZPB_2_0_Only_Voices_01		64685
	151939271	Firebug_Flare_Bang_2	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Firebug_Flare_Bang_2_61FEBE6F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Firebug\4_9_Secondary_Flare_Voiceline_Firebug\Firebug_Flare_Bang_2		15250
	156089775	Arsonist_ZPB_2_0_Only_Voices_03	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Arsonist_ZPB_2.0_Only_Voices_3BBC607F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Arsonist\5_2_ZPB_Arsonist_Voice\Arsonist_ZPB_2_0_Only_Voices_03		54674
	214059166	6_5_Masochism_Laugh_Active	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\1.75._Middle-duration_only_CB5CBF46.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\6_5_Masochism_Laugh_Active		258146
	270484830	Firebug_Masochism_2_0_Only_Voices_01	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Firebug_Masochism_2.0_Only_Voices_BC8067AD.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Firebug\6_1_Masochism_Firebug_Voice\Firebug_Masochism_2_0_Only_Voices_01		41632
	306125133	Arsonist_Masochism_2_0_Only_Voices_02	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Arsonist_Masochism_2.0_Only_Voices_940AF20B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\Voice Master\Arsonist\6_0_Masochism_Voice\Arsonist_Masochism_2_0_Only_Voices_02		66683
	316779847	5_0_ZPB_Start_Whiff_Old	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\ZPB_startup_whiff_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\5_0_ZPB_Start_Whiff\5_0_ZPB_Start_Whiff_Old		55588
	326243976	4_1_Secondary Flare Explosion	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\Secondary Fire 1\2. Flare Explosion_E773F9DA.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\4_1_Secondary Flare Explosion		69481
	342015722	6_6_Masochism_Laugh_End	C:\coding\Arsonist-RoR2\ArsonistWWISE\.cache\Windows\SFX\2. End_3BEF361A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\6_6_Masochism_Laugh_End		58497
